product_name,product_price,product_data,product_rateing,img_link
"Sony WH-CH710N Noise Cancelling Wireless Headphones : Bluetooth Over The Ear Headset with Mic for Phone-Call, 35 Hours Battery Life, Quick Charge and Google Assitant - Black","7,990"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.5 out of 5 stars.,https://m.media-amazon.com/images/I/61N6Ai7RkJL._AC_UY218_.jpg
"Fire-Boltt Blast 1400 Over -Ear Bluetooth Wireless Headphones with 25H Playtime, Thumping Bass, Lightweight Foldable Compact Design with Google/Siri Voice Assistance","2,499"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71lczMQC1bL._AC_UY218_.jpg
"Boult Audio Bass Buds Q2 Over-Ear Wired Lightweight Stereo Headphones, Deep Bass & in-Built Mic, Headset with Comfortable Ear Cushions, Long Cord (Black)",549,FREE Delivery by Amazon,3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71rSu40EANL._AC_UY218_.jpg
"boAt Rockerz 370 Wireless Headphone with Bluetooth 5.0, Immersive Audio, Lightweight Ergonomic Design, Cosy Padded Earcups and Up to 12H Playback Bliss (Buoyant Black)",999,FREE Delivery by Amazon,3.8 out of 5 stars,https://m.media-amazon.com/images/I/61kWB+uzR2L._AC_UY218_.jpg
"Zebronics Zeb-Thunder Wireless BT Headphone Comes with 40mm Drivers, AUX Connectivity, Built in FM, Call Function, 9Hrs* Playback time and Supports Micro SD Card (Blue)",699," Get it by Thursday, June 24FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81lLGM7SKbL._AC_UY218_.jpg
"Boult Audio AirBass TrueBuds True Wireless Earbuds with 30 Hours Total Playtime & Deep Bass, Type-C Fast Charging, Touch Controls, IPX7 Fully Waterproof, Noise Isolation and Voice Assistant (Red)","1,799","

FREE Delivery by Amazon

",3.9 out of 5 stars,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/415acc4b-c514-483e-9d75-eb6bee1eecb0._CR0,0,500,500_SX50_._TTW_.jpg"
boAt Bassheads 900 On Ear Wired Headphones(Carbon Black),"19,990",FREE Delivery by Amazon,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61D4Z3yKPAL._AC_UL320_.jpg
boAt Rockerz 450 Bluetooth On-Ear Headphone with Mic(Luscious Black),"1,349"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71CM0FCo3BL._AC_UL320_.jpg
"pTron Studio Over-Ear Bluetooth 5.0 Wireless Headphones, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port & Mic - (Blue)","1,299"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61stQYWQO4L._AC_UL320_.jpg
"Zebronics Zeb-Thunder Wireless BT Headphone Comes with 40mm Drivers, AUX Connectivity, Built in FM, Call Function, 9Hrs* Playback time and Supports Micro SD Card (Red)","1,798",FREE Delivery by Amazon,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71s9FMKzr+L._AC_UL320_.jpg
Sony MDR-ZX110 On-Ear Stereo Headphones (Black),799," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61xeIT6UHrL._AC_UY218_.jpg
Noise Air Buds Truly Headphone - Jet Black,"1,399"," Get it by Thursday, June 24FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61ihz46SLOL._AC_UY218_.jpg
Boult Audio BassBuds Storm in-Ear Wired Earphones with Mic and Full Metal Body for Extra Bass & HD Sound with Passive Noise Cancellation (Black),799,FREE Delivery over ₹499. Fulfilled by Amazon,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51yC6vz9TYL._AC_UY218_.jpg
"Buddymate SH-12 Portable & Foldable Over-Ear Bluetooth Headphone with 9 Hours Battery Life,Soft Cushions,Deep Bass & SD/USB/AUX Support for All Devices (Random Colour)",699," Get it by Friday, June 25FREE Delivery by Amazon",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81cJ1kUT1LL._AC_UY218_.jpg
"pTron Studio Over-Ear Bluetooth 5.0 Wireless Headphones, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port & Mic - (Black)",899," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51eJUpMRnzL._AC_UY218_.jpg
JBL C50HI by Harman in-Ear Headphones with Mic (Blue),"2,099"," Get it by Friday, June 25FREE Delivery by Amazon",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41ZiGBAyMqL._AC_UY218_.jpg
boAt Rockerz 450 Bluetooth On-Ear Headphone with Mic(Aqua Blue),349," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/7170KkO3wdL._AC_UY218_.jpg
"Redragon H120 Wired Gaming Headset with Microphone and Volume Control for Mobiles/Smart Devices, PC and PS4 (Black)",529," Get it by Thursday, June 24FREE Delivery by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51IRCMMjHqL._AC_UY218_.jpg
"Cosmic Byte GS430 Gaming Headphone, 7 Color RGB LED and Microphone for PC, PS5, Xbox, Mobiles, Tablets, Laptops (Black)",799," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.7 out of 5 stars,https://m.media-amazon.com/images/I/513mDbXPxaS._AC_UY218_.jpg
"DUETMI Bluetooth Neckband, in-Ear Wireless Earphones with 12 Hour Battery Life, Fast Charging & in-Built Mic, IPX5 Sweatproof Headphones (Black)",499," Get it by Friday, June 25FREE Delivery",3.9 out of 5 stars,https://m.media-amazon.com/images/I/617bCX7Y-aL._AC_UY218_.jpg
"PTron Boom Ultima V2 Dual Driver, In-Ear Gaming Wired Headphones with in-line Mic, Volume Control, Passive Noise Cancelling Boom 3 Earphones with 3.5mm Audio Jack & 1.2M Tangle-free Cable - (Black)","1,499"," Get it by Tomorrow, June 22FREE Delivery over ₹499. Fulfilled by Amazon",3.6 out of 5 stars,https://m.media-amazon.com/images/I/61WjZrbnqML._AC_UY218_.jpg
"Infinity Glide 500 by Harman (JBL, HK, Infinity), 20 Hrs Playtime with Quick Charge, Wireless On Ear Headphone with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voice Assistant Support (Black)",799," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.9 out of 5 stars,https://m.media-amazon.com/images/I/615w9FdRJDL._AC_UY218_.jpg
"Infinity (JBL) Glide 120, in Ear Wireless Earphones with Mic, Deep Bass, Dual Equalizer, 12mm Drivers, Premium Metal Earbuds, Comfortable Flex Neckband, Bluetooth 5.0, IPX5 Sweatproof (Black&Yellow)","1,049"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/7154EWu-5LL._AC_UY218_.jpg
"Boult Audio ProBass FluidX Over-Ear Unbreakable Wireless Bluetooth Headphones with Microphone, Headset with Passive Noise Cancellation & Long Battery Life","1,099",FREE Delivery by Amazon,3.5 out of 5 stars.,https://m.media-amazon.com/images/I/81BrGPH+g1L._AC_UY218_.jpg
"MYXR+ Active Noise Cancelling(ANC) Wireless Headphones MX36 (Platinum) : 50 Hours Battery, Qualcomm 5.0 Bluetooth Chip, Type-C Fast Charging","6,499"," Get it by Saturday, June 26FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71012pZfQlL._AC_UY218_.jpg
"Zebronics Zeb-Bang Foldable Wireless BT Headphone Comes with 40mm Drivers, AUX Connectivity, Call Function, 16Hrs* Playback time & Supports Voice Assistant (Black)",799," Get it by Friday, June 25FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71hndRNS7kL._AC_UY218_.jpg
"DUETMI Bluetooth Neckband, in-Ear Wireless Earphones with 12 Hour Battery Life, Fast Charging & in-Built Mic, IPX5 Sweatproof Headphones (Black)",249," Get it by Friday, June 25FREE Delivery",3.8 out of 5 stars,https://m.media-amazon.com/images/I/41MKBAK0zxL._AC_UY218_.jpg
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Voice Assistant & Mic - (Black)",599," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51Bi92jvyDL._AC_UY218_.jpg
"PTron Boom Ultima V2 Dual Driver, In-Ear Gaming Wired Headphones with in-line Mic, Volume Control, Passive Noise Cancelling Boom 3 Earphones with 3.5mm Audio Jack & 1.2M Tangle-free Cable - (Black)",399," Get it by Tomorrow, June 22FREE Delivery over ₹499. Fulfilled by Amazon",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61KuS-yAFGL._AC_UY218_.jpg
JBL C100SI by Harman In-Ear Deep Bass Headphones with Mic (Black),679," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61ptzNC8r8L._AC_UY218_.jpg
"Zebronics Zeb-Thunder Wireless BT Headphone with Built-in FM,AUX Connectivity and Micro SD Card Support(Brown)",699," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/811UXhL9eUL._AC_UY218_.jpg
"Redragon H120 Wired Gaming Headset with Microphone and Volume Control for Mobiles/Smart Devices, PC and PS4 (Black)",799," Get it by Thursday, June 24FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/615w9FdRJDL._AC_UY218_.jpg
"Zebronics Zeb-Thunder Wireless BT Headphone Comes with 40mm Drivers, AUX Connectivity, Built in FM, Call Function, 9Hrs* Playback time and Supports Micro SD Card (Black)",699," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71O7+VmlvVL._AC_UY218_.jpg
"Boult Audio ProBass Thunder Over-Ear Wireless Bluetooth Headphones with Mic, Headset with Passive Noise Cancellation & Long Battery Life","1,199"," Get it by Friday, June 25FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81bgqR0BQhL._AC_UY218_.jpg
"Boult Audio ProBass Flex Over-Ear Wireless Bluetooth Headphones with Mic & Extra Bass, Headset with Wired Connectivity Option & Long Battery Life","1,199",FREE Delivery by Amazon,3.8 out of 5 stars,https://m.media-amazon.com/images/I/71AD5iVm62L._AC_UY218_.jpg
"Haryani's P47 Wireless Bluetooth Headphones 5.0+EDR with Volume Control, HD Sound and Bass, Mic, SD Card Slot and (Black) & Magnet Bluetooth Headsets (Black) Combo",599,"Get it Saturday, June 26 - Sunday, June 27FREE Delivery",3.8 out of 5 stars,https://m.media-amazon.com/images/I/515VlDcgQNL._AC_UY218_.jpg
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),549," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61+tzvHZi+L._AC_UY218_.jpg
boAt Bassheads 900 On Ear Wired Headphones(Pearl White),799," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71r6AArbBBL._AC_UY218_.jpg
boAt Rockerz 450 Bluetooth On-Ear Headphone with Mic(Aqua Blue),"1,499"," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61WjZrbnqML._AC_UY218_.jpg
Redgear Cloak Wired RGB Gaming Headphones with Microphone for PC,320,"Get it Friday, June 25 - Tuesday, June 29FREE Delivery",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71L26Qve3jL._AC_UY218_.jpg
"Wireless Bluetooth Neckband (Buy) Earphones Worth ₹100 (Free) Earphone Headset Portable Headphone Hand Free Sports Running Compatible with Mic, USB Cable (Free) Combo",799," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/31r-gv-ouvS._AC_UY218_.jpg
"pTron Tangentbeat Bluetooth 5.0 Wireless Headphones with Deep Bass, Ergonomic Design, IPX4 Sweat/Waterproof Neckband, Magnetic Earbuds, Voice Assistant, Passive Noise Cancelation & Mic - (Dark Blue)","1,599"," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51P6DqgGnaS._AC_UY218_.jpg
boAt Rockerz 510 Bluetooth On-Ear Headphone with Mic(Raging Red),"7,990"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61YvHa6o94L._AC_UY218_.jpg
"Sony WH-CH710N Noise Cancelling Wireless Headphones : Bluetooth Over The Ear Headset with Mic for Phone-Call, 35 Hours Battery Life, Quick Charge and Google Assitant - Black","2,298"," Get it by Thursday, June 24FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61N6Ai7RkJL._AC_UY218_.jpg
Noise Air Buds Truly Headphone - ICY White,no_price,none,none,Img_link_not_found
"Boult Audio ProBass FluidX Over-Ear Unbreakable Wireless Bluetooth Headphones with Microphone, Headset with Passive Noise Cancellation & Long Battery Life","1,099",FREE Delivery by Amazon,3.5 out of 5 stars.,https://m.media-amazon.com/images/I/81BrGPH+g1L._AC_UY218_.jpg
"MYXR+ Active Noise Cancelling(ANC) Wireless Headphones MX36 (Platinum) : 50 Hours Battery, Qualcomm 5.0 Bluetooth Chip, Type-C Fast Charging","6,499"," Get it by Saturday, June 26FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71012pZfQlL._AC_UY218_.jpg
"Zebronics Zeb-Thunder Wireless BT Headphone with Built-in FM,AUX Connectivity and Micro SD Card Support(Brown)",699," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/811UXhL9eUL._AC_UY218_.jpg
"Zebronics Zeb-Symphony ​Wireless ​In Ear​ ​Neckband Earphone​ ​with BT 5.0, Dual Pairing, Call Function, Splash Proof, Magnetic Earpiece",599," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/717aeqCigsL._AC_UY218_.jpg
"Teconica AT199 Wired On-Ear Headphones with Tangle Free Cable, 3.5 mm Jack, Headset with Mic for Phone Calls Compatible with All Devices (Random Color)",269,"Get it Saturday, June 26 - Sunday, June 27",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51bXYOcOdgS._AC_UY218_.jpg
"Spirili P-47 Portable Wireless Headphone with Bluetooth 4.2, Super Audio, Lightweight Design,FM, Aux, SD Card & Calling Control Supported Compatible with All Mobile Phones (Multi Color)",499," Get it by Friday, June 25FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61kFG31YCsL._AC_UY218_.jpg
"boAt Rockerz 550 Over-Ear Wireless Headphone with Ergonomic Aesthetics, Plush Padded Earcups, Immersive Audio, Bluetooth v5.0 & Upto 20H Playback (Black)","1,999"," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.3 out of 5 stars,https://m.media-amazon.com/images/I/710XhG8bO3L._AC_UY218_.jpg
"LIMESHOT Neckband in-Ear Wireless Earphones with 6 Hours Playtime,IPX5 Sweatproof Headphones, Latest Bluetooth 5.0 & Flexible Headset with in-Built Microphone (Red)",399," Get it by Sunday, June 27",2.9 out of 5 stars,https://m.media-amazon.com/images/I/41e486AFRLL._AC_UY218_.jpg
iBall Kids Diva Wired Headphone with in line Volume Controller (Violet and Pink),649," Get it by Friday, June 25FREE Delivery by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71IPlO9Rl0L._AC_UY218_.jpg
"Wireless Bluetooth Neckband (Buy) Earphones Worth ₹100 (Free) Earphone Headset Portable Headphone Hand Free Sports Running Compatible with Mic, USB Cable (Free) Combo",320,"Get it Friday, June 25 - Tuesday, June 29",3.2 out of 5 stars,https://m.media-amazon.com/images/I/31r-gv-ouvS._AC_UY218_.jpg
"Boult Audio ProBass Thunder Over-Ear Wireless Bluetooth Headphones with Mic, Headset with Passive Noise Cancellation & Long Battery Life","1,199"," Get it by Friday, June 25FREE Delivery by Amazon",3.7 out of 5 stars,https://m.media-amazon.com/images/I/81bgqR0BQhL._AC_UY218_.jpg
Zebronics Zeb-Bang Bluetooth Headphone with Voice Assistant (Orange),849," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.5 out of 5 stars,https://m.media-amazon.com/images/I/71YDoi-vKYL._AC_UY218_.jpg
"boAt Rockerz 370 Wireless Headphone with Bluetooth 5.0, Immersive Audio, Lightweight Ergonomic Design, Cosy Padded Earcups and Up to 12H Playback Bliss (Fiery Red)",999," Get it by Friday, June 25FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61+paS1uwjL._AC_UY218_.jpg
"pTron Tangentbeat Bluetooth 5.0 Wireless Headphones with Deep Bass, Ergonomic Design, IPX4 Sweat/Waterproof Neckband, Magnetic Earbuds, Voice Assistant, Passive Noise Cancelation & Mic - (Dark Blue)",799," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.7 out of 5 stars,https://m.media-amazon.com/images/I/51P6DqgGnaS._AC_UY218_.jpg
"pTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",399," Get it by Tomorrow, June 22FREE Delivery over ₹499. Fulfilled by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61qpkPzbEEL._AC_UY218_.jpg
Zinq Technologies Beatle 5155 Super Bass Bluetooth On-Ear Headphones with Mic (Black),619,FREE Delivery by Amazon,4.1 out of 5 stars,https://m.media-amazon.com/images/I/515k1-haxQL._AC_UY218_.jpg
JBL C50HI by Harman in-Ear Headphones with Mic (Black),499," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61bKM6CSSFL._AC_UY218_.jpg
"Philips Audio SHE1505 in-Ear Rich Bass Headphones with 10 mm Drivers, Passive Noise Isolation and Mic (Black)",325," Get it by Tomorrow, June 22FREE Delivery over ₹499. Fulfilled by Amazon",4.1 out of 5 stars,https://m.media-amazon.com/images/I/518-+0jg8BS._AC_UY218_.jpg
(Renewed) Ant Esports HD RGB LED Gaming Headset (H530 - Black & Red),905," Get it by Friday, June 25FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/51q2KAqJX4L._AC_UY218_.jpg
"Logitech H111 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, 3.5 mm Audio Jack, PC/Mac/Laptop/Smartphone/Tablet - Black",795," Get it by Thursday, June 24FREE Delivery by Amazon",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61HBpQuLjVL._AC_UY218_.jpg
"Boult Audio ProBass Flex Over-Ear Wireless Bluetooth Headphones with Mic & Extra Bass, Headset with Wired Connectivity Option & Long Battery Life","1,199",FREE Delivery by Amazon,1.0 out of 5 stars,https://m.media-amazon.com/images/I/71AD5iVm62L._AC_UY218_.jpg
"Sony WH-CH710N Noise Cancelling Wireless Headphones : Bluetooth Over The Ear Headset with Mic for Phone-Call, 35 Hours Battery Life, Quick Charge and Google Assitant - Black","7,990"," Get it by Tomorrow, June 22FREE Delivery by Amazon",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61N6Ai7RkJL._AC_UY218_.jpg
"Boult Audio ProBass FluidX Over-Ear Unbreakable Wireless Bluetooth Headphones with Microphone, Headset with Passive Noise Cancellation & Long Battery Life","1,099",FREE Delivery by Amazon,3.5 out of 5 stars.,https://m.media-amazon.com/images/I/81BrGPH+g1L._AC_UY218_.jpg
"MYXR+ Active Noise Cancelling(ANC) Wireless Headphones MX36 (Platinum) : 50 Hours Battery, Qualcomm 5.0 Bluetooth Chip, Type-C Fast Charging","6,499"," Get it by Saturday, June 26FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/71012pZfQlL._AC_UY218_.jpg
"Logitech H110 Wired headset, Stereo Headphones with noise-cancelling Microphone,3.5-mm Dual Audio Jack, PC/Mac/Laptop- Grey",749," Get it by Thursday, June 24FREE Delivery by Amazon",3.2 out of 5 stars.,https://m.media-amazon.com/images/I/61IWe1ZAgcL._AC_UY218_.jpg
"ONKARONUS MDR-XB450 Wired Extra Bass On-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls (Blue)",319.,"Get it Saturday, June 26 - Sunday, June 27FREE Delivery",3.8 out of 5 stars,https://m.media-amazon.com/images/I/31u3Dp702fS._AC_UY218_.jpg
Heypex SH-12 Wireless Portable Bluetooth V4.2 Over The Ear Headphone Comes with SD/FM/AUX & Inbuilt Mic for All Devices (Multi-Colour),499,"Get it Saturday, June 26 - Sunday, June 27₹80 shipping",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51fZ8ZeW5TL._AC_UY218_.jpg
"boAt Rockerz 370 Wireless Headphone with Bluetooth 5.0, Immersive Audio, Lightweight Ergonomic Design, Cosy Padded Earcups and Up to 12H Playback Bliss(Gregarious Green)",999," Get it by Tomorrow, June 22FREE Delivery by Amazon",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61I3R2ioAlL._AC_UY218_.jpg
iBall Kids Diva Wired Headphone with in line Volume Controller (Violet and Pink),649," Get it by Friday, June 25FREE Delivery by Amazon",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71IPlO9Rl0L._AC_UY218_.jpg
Praxan PJ-47 Wireless Portable & Foldable Bluetooth Sports Headphone with Microphone | Aux | USB Rechargeable | Soft Ear-Cushions and SD Card Support Compatible with All Devices (Random Color),499," Get it by Friday, June 25FREE Delivery by Amazon",3.4 out of 5 stars,https://m.media-amazon.com/images/I/414fU2wd8xL._AC_UY218_.jpg
Jecool SH12 Wireless Bluetooth Headphone for Mobile with Mic with FM and SD Card Slot with Music and Calling Controls (Green),499," Get it by Saturday, June 26FREE Delivery",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51ViAUowt4L._AC_UY218_.jpg
"Sennheiser CX 180 Street II In-Ear Headphone (Black), without Mic",749, FREE Delivery by Amazon,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51j4zZ9eQSL._AC_UY218_.jpg
